driver,maneuver,window_start,window_end,SpeedLevel,SpeedTrend,BrakeUse,GasUse,SteerIntensity,SteerActivity,GearChange,RPMTrend,RPMLevel,Maneuver marker flag
Driver2,Overtaking,142.897,143.901,0.6399300867164762,0.018902587757100284,0.0,0.4740185266011098,0.41585760517799353,0.04255121475356529,0,0.02784002915307427,0.6991783636126883,0.95
Driver2,Overtaking,143.419,144.432,0.6502610495994239,0.019581423763588308,0.0,0.520424274202289,1.0,0.051849615211904426,0,0.031840787267869604,0.7150406705426501,1.0
Driver2,Overtaking,143.955,144.963,0.664443244216401,0.035316598886444756,0.0,0.6573003537571194,1.0,0.003994983044548706,0,0.06273861450867242,0.7399497544629551,1.0
Driver2,Overtaking,144.486,145.489,0.6871973174903231,0.04964654477970448,0.0,0.7245432061155164,1.0,0.008051903810718311,0,0.08109770223139187,0.778392090723549,1.0
Driver2,Overtaking,145.015,146.014,0.7144312419359679,0.05420013904276518,0.0,0.7515196519256475,1.0,0.10047846889952153,0,0.08690174011377863,0.8225213675819385,1.0
Driver2,Overtaking,145.541,146.541,0.7442149008311579,0.059520256512265834,0.0,0.8118647774884318,0.7491909385113269,0.04458741735185271,0,0.0972005734547632,0.870726986654004,1.0
Driver2,Overtaking,146.066,147.065,0.777911303147598,0.06821309952207913,0.0,0.8686610053810528,1.0,0.017961939270063947,0,0.11042184870394045,0.9255755375468446,1.0
Driver2,Overtaking,146.595,147.58,0.8147785579260058,0.07190589538576107,0.0,0.8978663260912232,1.0,0.0008051903810718312,0,0.08268312940229706,0.979799965423682,1.0
Driver2,Overtaking,147.115,148.095,0.8531445974735199,0.07391430466054723,0.0,0.932086835021076,1.0,0.04949598179030984,0,0.0035776090079611806,0.9988922240462558,1.0
Driver2,Overtaking,147.634,148.626,0.8943709304767906,0.08148901116970624,0.0,0.9777687621625369,1.0,0.0654913983989099,0,-1.4903781522272053e-16,1.0,1.0
Driver2,Overtaking,148.149,149.152,0.937833438353287,0.082449850836531,0.0,0.9511740967378769,0.8317152103559871,0.043015747665722116,0,-1.4231080578417257e-16,1.0,1.0
Driver2,Overtaking,148.679,149.67,0.9597526029945689,0.006285875322154366,0.0,0.40272186957171274,0.8317152103559871,0.07366717765287005,1,-1.0639502180708902e-16,1.0,1.0
Driver2,Overtaking,149.204,150.2,0.954008761664716,-0.05027605755643477,0.0,0.033921236070142136,0.5825242718446603,0.0375497437326768,1,-0.477298217876864,0.8997880768009053,1.0
Driver2,Overtaking,149.724,150.725,0.9035489242956163,-0.08319873543264442,0.0,0.0,0.33333333333333337,0.0573930412969759,1,-0.5920881423271174,0.6023974440321138,1.0
Driver2,Overtaking,150.253,151.258,0.8825329312569387,-0.023031914290500062,0.0,0.3593108034084884,0.33333333333333337,0.04708041064709436,1,0.3065321161726628,0.4617247026569289,1.0
Driver2,Overtaking,150.779,151.782,0.8787304587871696,0.01231925323098829,0.0,0.7400852805597623,0.33333333333333337,0.04507517690961738,0,0.2315966119942507,0.6144286605042031,1.0
Driver2,Overtaking,151.31,152.308,0.8929974195097068,0.03871448421909285,0.0,0.8234133900438316,0.8317152103559871,0.08624053514191479,0,0.045304655155946956,0.6796708705688675,1.0
Driver2,Overtaking,151.834,152.84,0.9147538032226125,0.043769738720590506,0.0,0.866387898635843,1.0,0.03905947569718647,0,0.051804480488415544,0.7054565032836904,1.0
Driver2,Overtaking,152.36,153.365,0.9384343025174782,0.045411736158654174,0.0,0.8500228970589242,1.0,0.10831359068456667,0,0.05125208588678451,0.732926616398355,1.0
Driver2,Overtaking,152.893,153.885,0.9614081675518348,0.04310707188073034,0.0,0.8581229879636655,1.0,0.11104659265108932,0,0.05057365516302433,0.7592466665598196,1.0
Driver2,Overtaking,153.415,154.407,0.9848156149668438,0.045617471984777724,0.0,0.8703151592199964,0.8317152103559871,0.04340285842585281,0,0.05289230144606502,0.7866761268791213,1.0
Driver2,Overtaking,153.938,154.918,0.9981126414018664,0.007940764600483772,0.0,0.8834278996513203,0.16666666666666669,0.019324569145723978,0,0.0517933895084738,0.8136905187415651,1.0
Driver2,Overtaking,154.458,155.43,1.0,-1.8703228871766682e-16,0.0,0.9015809223072033,0.16666666666666669,0.026733869094625357,0,0.053280681419803924,0.8413497416146463,1.0
Driver2,Overtaking,154.969,155.944,1.0,-1.438806602800005e-16,0.0,0.9190923391030017,0.33333333333333337,0.022723401619671426,0,0.05484642987279543,0.8697688706022784,1.0
Driver2,Overtaking,155.48,156.456,1.0,-1.7626528149463702e-16,0.0,0.9307195535024688,0.33333333333333337,0.007184775708025581,0,0.056036377079064094,0.8990056346606041,1.0
Driver2,Overtaking,155.994,156.966,1.0,-1.321720954017492e-16,0.0,0.9411457707814002,0.33333333333333337,0.0,0,0.056148749538391995,0.9282986570125304,0.9
Driver2,Overtaking,156.507,157.479,1.0,-1.8718435538399648e-16,0.0,0.9580603994145382,0.33333333333333337,0.0,0,0.05726007552413875,0.9580787545605836,0.4
Driver2,Overtaking,175.384,176.385,0.6490173132895249,0.010286506819600123,0.0,0.4665383650230582,0.0825242718446602,0.0,0,0.01926658699085692,0.7117759378020712,0.35
